piece,_similarity
IMG_001_1_1_1_int.jpg,9.459316
IMG_001_1_1_2_int.jpg,10.536348
IMG_001_1_1_3_out.jpg,9.318752
IMG_001_1_1_4_int.jpg,9.556876
IMG_001_1_2_1_out.jpg,9.99058
IMG_001_1_2_2_int.jpg,9.699708
IMG_001_1_2_3_out.jpg,10.072532
IMG_001_1_2_4_int.jpg,9.286364
IMG_001_1_3_1_out.jpg,9.321012
IMG_001_1_3_2_int.jpg,10.277856
IMG_001_1_3_3_out.jpg,9.649776
IMG_001_1_3_4_int.jpg,9.731272
IMG_001_1_4_2_int.jpg,10.181288
IMG_001_1_4_3_out.jpg,9.238996
IMG_001_1_4_4_int.jpg,9.544284
IMG_001_1_5_1_out.jpg,10.240764
IMG_001_1_5_2_int.jpg,8.960692
IMG_001_1_5_3_out.jpg,9.607144
IMG_001_1_5_4_int.jpg,9.328636
IMG_001_1_6_1_int.jpg,9.541988
IMG_001_1_6_2_out.jpg,9.469988
IMG_001_1_6_3_int.jpg,10.050332
IMG_001_1_6_4_out.jpg,9.505148
IMG_001_1_7_1_int.jpg,8.532256
IMG_001_1_7_2_out.jpg,9.185548
IMG_001_1_7_3_int.jpg,9.09676
IMG_001_1_7_4_out.jpg,9.593956
IMG_001_2_1_1_out.jpg,9.010188
IMG_001_2_1_2_int.jpg,10.284916
IMG_001_2_1_3_out.jpg,9.467488
IMG_001_2_1_4_int.jpg,9.622076
IMG_001_2_2_1_out.jpg,10.280372
IMG_001_2_2_2_int.jpg,9.676964
IMG_001_2_2_3_out.jpg,9.202168
IMG_001_2_2_4_int.jpg,9.076732
IMG_001_2_3_1_int.jpg,9.56452
IMG_001_2_3_2_out.jpg,9.415676
IMG_001_2_3_3_int.jpg,10.22598
IMG_001_2_3_4_out.jpg,9.757552
IMG_001_2_4_1_out.jpg,9.7068
IMG_001_2_4_2_int.jpg,9.463132
IMG_001_2_4_3_out.jpg,9.941436
IMG_001_2_4_4_int.jpg,8.605496
IMG_001_2_5_1_out.jpg,9.32718
IMG_001_2_5_2_int.jpg,10.358156
IMG_001_2_5_3_out.jpg,9.634988
IMG_001_2_5_4_int.jpg,9.873148
IMG_001_2_6_1_out.jpg,8.270792
IMG_001_2_6_2_int.jpg,8.995328
IMG_001_2_6_3_out.jpg,10.220032
IMG_001_2_6_4_int.jpg,9.316712
IMG_001_2_7_1_int.jpg,9.728412
IMG_001_2_7_2_out.jpg,9.248168
IMG_001_2_7_3_int.jpg,9.911084
IMG_001_2_7_4_int.jpg,9.664236
IMG_001_3_1_1_out.jpg,9.07708
IMG_001_3_1_2_int.jpg,10.317284
IMG_001_3_1_3_out.jpg,8.95362
IMG_001_3_1_4_int.jpg,9.721796
IMG_001_3_2_1_out.jpg,0.0
IMG_001_3_2_2_int.jpg,9.207884
IMG_001_3_2_3_out.jpg,10.487984
IMG_001_3_2_4_int.jpg,9.26116
IMG_001_3_3_1_int.jpg,9.451664
IMG_001_3_3_2_out.jpg,9.349432
IMG_001_3_3_3_int.jpg,9.363948
IMG_001_3_3_4_out.jpg,9.141464
IMG_001_3_4_1_out.jpg,9.168544
IMG_001_3_4_2_int.jpg,9.168396
IMG_001_3_4_3_out.jpg,10.261904
IMG_001_3_4_4_int.jpg,9.410164
IMG_001_3_5_1_int.jpg,10.295968
IMG_001_3_5_2_out.jpg,9.11478
IMG_001_3_5_3_int.jpg,9.29806
IMG_001_3_5_4_out.jpg,9.22768
IMG_001_3_6_1_int.jpg,8.800708
IMG_001_3_6_2_out.jpg,9.674716
IMG_001_3_6_3_int.jpg,9.447964
IMG_001_3_6_4_out.jpg,9.54246
IMG_001_3_7_1_int.jpg,10.02348
IMG_001_3_7_2_out.jpg,9.1636
IMG_001_3_7_3_int.jpg,9.637524
IMG_001_3_7_4_out.jpg,8.917192
IMG_001_4_1_1_int.jpg,9.95744
IMG_001_4_1_2_out.jpg,9.54584
IMG_001_4_1_3_int.jpg,10.256036
IMG_001_4_1_4_out.jpg,9.494444
IMG_001_4_2_1_out.jpg,9.454156
IMG_001_4_2_2_int.jpg,9.393276
IMG_001_4_2_3_out.jpg,9.774376
IMG_001_4_2_4_int.jpg,9.967892
IMG_001_4_3_1_int.jpg,8.77638
IMG_001_4_3_2_out.jpg,10.059132
IMG_001_4_3_3_int.jpg,9.344196
IMG_001_4_3_4_out.jpg,9.648816
IMG_001_4_4_1_int.jpg,8.935536
IMG_001_4_4_2_out.jpg,9.641252
IMG_001_4_4_3_int.jpg,10.1299
IMG_001_4_4_4_out.jpg,9.689416
IMG_001_4_5_1_out.jpg,9.423108
IMG_001_4_5_2_int.jpg,9.57188
IMG_001_4_5_3_out.jpg,9.877976
IMG_001_4_5_4_int.jpg,9.48368
IMG_001_4_6_1_out.jpg,9.852364
IMG_001_4_6_2_int.jpg,9.45132
IMG_001_4_6_3_out.jpg,9.70974
IMG_001_4_6_4_int.jpg,9.622504
IMG_001_4_7_1_int.jpg,8.965196
IMG_001_4_7_2_out.jpg,9.536412
IMG_001_4_7_3_int.jpg,9.594364
IMG_001_4_7_4_out.jpg,9.590016
IMG_001_5_1_1_out.jpg,8.876724
IMG_001_5_1_2_int.jpg,9.761928
IMG_001_5_1_3_out.jpg,9.080432
IMG_001_5_1_4_int.jpg,10.043404
IMG_001_5_2_1_out.jpg,9.373352
IMG_001_5_2_2_int.jpg,9.151332
IMG_001_5_2_3_out.jpg,9.924848
IMG_001_5_2_4_int.jpg,9.512556
IMG_001_5_3_1_out.jpg,9.76652
IMG_001_5_3_2_int.jpg,9.625156
IMG_001_5_3_3_out.jpg,9.95828
IMG_001_5_3_4_int.jpg,9.5861
IMG_001_5_4_1_out.jpg,8.806236
IMG_001_5_4_2_int.jpg,10.026724
IMG_001_5_4_3_out.jpg,9.834932
IMG_001_5_4_4_int.jpg,9.92316
IMG_001_5_5_1_int.jpg,9.440768
IMG_001_5_5_2_out.jpg,9.741692
IMG_001_5_5_3_int.jpg,8.678628
IMG_001_5_5_4_out.jpg,9.818152
IMG_001_5_6_1_int.jpg,8.964472
IMG_001_5_6_2_out.jpg,9.985316
IMG_001_5_6_3_int.jpg,8.821508
IMG_001_5_6_4_out.jpg,8.408364
IMG_001_5_7_1_int.jpg,9.314196
IMG_001_5_7_2_out.jpg,9.34344
IMG_001_5_7_3_int.jpg,9.586504
IMG_001_5_7_4_int.jpg,9.642748
