piece,_similarity
IMG_001_1_1_1_int.jpg,9.652228
IMG_001_1_1_2_int.jpg,11.317636
IMG_001_1_1_3_out.jpg,9.585984
IMG_001_1_1_4_int.jpg,9.21998
IMG_001_1_2_1_out.jpg,10.299948
IMG_001_1_2_2_int.jpg,9.561588
IMG_001_1_2_3_out.jpg,10.127332
IMG_001_1_2_4_int.jpg,9.698164
IMG_001_1_3_1_out.jpg,9.513164
IMG_001_1_3_2_int.jpg,10.654984
IMG_001_1_3_3_out.jpg,9.610744
IMG_001_1_3_4_int.jpg,9.484504
IMG_001_1_4_2_int.jpg,10.32768
IMG_001_1_4_3_out.jpg,9.022756
IMG_001_1_4_4_int.jpg,9.027996
IMG_001_1_5_1_out.jpg,10.448636
IMG_001_1_5_2_int.jpg,9.381476
IMG_001_1_5_3_out.jpg,9.421016
IMG_001_1_5_4_int.jpg,9.669652
IMG_001_1_6_1_int.jpg,9.940748
IMG_001_1_6_2_out.jpg,9.357876
IMG_001_1_6_3_int.jpg,9.899708
IMG_001_1_6_4_out.jpg,9.717436
IMG_001_1_7_1_int.jpg,9.095632
IMG_001_1_7_2_out.jpg,9.794852
IMG_001_1_7_3_int.jpg,9.156152
IMG_001_1_7_4_out.jpg,9.274012
IMG_001_2_1_1_out.jpg,9.323332
IMG_001_2_1_2_int.jpg,10.380068
IMG_001_2_1_3_out.jpg,8.984328
IMG_001_2_1_4_int.jpg,9.057532
IMG_001_2_2_1_out.jpg,10.63674
IMG_001_2_2_2_int.jpg,9.7101
IMG_001_2_2_3_out.jpg,9.669904
IMG_001_2_2_4_int.jpg,9.621484
IMG_001_2_3_1_int.jpg,9.496464
IMG_001_2_3_2_out.jpg,9.651548
IMG_001_2_3_3_int.jpg,10.658764
IMG_001_2_3_4_out.jpg,9.986248
IMG_001_2_4_1_out.jpg,10.240288
IMG_001_2_4_2_int.jpg,9.417972
IMG_001_2_4_3_out.jpg,10.050468
IMG_001_2_4_4_int.jpg,9.49344
IMG_001_2_5_1_out.jpg,9.535476
IMG_001_2_5_2_int.jpg,10.579916
IMG_001_2_5_3_out.jpg,9.664084
IMG_001_2_5_4_int.jpg,9.2471
IMG_001_2_6_1_out.jpg,9.280704
IMG_001_2_6_2_int.jpg,9.169104
IMG_001_2_6_3_out.jpg,10.238176
IMG_001_2_6_4_int.jpg,9.47672
IMG_001_2_7_1_int.jpg,10.055692
IMG_001_2_7_2_out.jpg,9.567808
IMG_001_2_7_3_int.jpg,10.334644
IMG_001_2_7_4_int.jpg,9.812948
IMG_001_3_1_1_out.jpg,9.300376
IMG_001_3_1_2_int.jpg,10.415212
IMG_001_3_1_3_out.jpg,8.853788
IMG_001_3_1_4_int.jpg,9.620364
IMG_001_3_2_1_out.jpg,9.45132
IMG_001_3_2_2_int.jpg,9.290308
IMG_001_3_2_3_out.jpg,10.642168
IMG_001_3_2_4_int.jpg,9.922304
IMG_001_3_3_1_int.jpg,9.991056
IMG_001_3_3_2_out.jpg,9.559912
IMG_001_3_3_3_int.jpg,9.322332
IMG_001_3_3_4_out.jpg,9.375432
IMG_001_3_4_1_out.jpg,8.797032
IMG_001_3_4_2_int.jpg,9.193548
